rank,name,mbid,listeners,playcount,url,image_url
63,Cigarettes After Sex,,2683516,276578984,https://www.last.fm/music/Cigarettes+After+Sex,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
64,LE SSERAFIM,,1479360,250850389,https://www.last.fm/music/LE+SSERAFIM,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
65,My Chemical Romance,,4649348,495629809,https://www.last.fm/music/My+Chemical+Romance,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
66,Daniel Caesar,,2159072,203525370,https://www.last.fm/music/Daniel+Caesar,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
67,Twenty One Pilots,,3117014,382670903,https://www.last.fm/music/Twenty+One+Pilots,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
68,Bad Bunny,,2080063,324168044,https://www.last.fm/music/Bad+Bunny,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
69,Olivia Dean,,910440,33131484,https://www.last.fm/music/Olivia+Dean,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
70,Red Hot Chili Peppers,,7035216,537000569,https://www.last.fm/music/Red+Hot+Chili+Peppers,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
71,The Strokes,,5528339,454021460,https://www.last.fm/music/The+Strokes,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
72,Eminem,,7582932,545222834,https://www.last.fm/music/Eminem,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
73,Queen,,6999659,407610320,https://www.last.fm/music/Queen,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
74,System of a Down,,5634772,484040470,https://www.last.fm/music/System+of+a+Down,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
75,The Cure,,5230313,371708911,https://www.last.fm/music/The+Cure,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
76,TWICE,,1753667,458183702,https://www.last.fm/music/TWICE,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
77,Green Day,,6369718,422653420,https://www.last.fm/music/Green+Day,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
78,Metro Boomin,,2338729,227766275,https://www.last.fm/music/Metro+Boomin,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
79,Post Malone,,3360432,313352442,https://www.last.fm/music/Post+Malone,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
80,Hozier,,3186023,260661923,https://www.last.fm/music/Hozier,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
81,RAYE,,1532987,45562228,https://www.last.fm/music/RAYE,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
82,Daft Punk,,6112926,388570302,https://www.last.fm/music/Daft+Punk,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
83,Harry Styles,,3043746,381872192,https://www.last.fm/music/Harry+Styles,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
84,Sade,,3147083,117352877,https://www.last.fm/music/Sade,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
85,The Smashing Pumpkins,,4385862,242495917,https://www.last.fm/music/The+Smashing+Pumpkins,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
86,Pierce the Veil,,1921683,230003632,https://www.last.fm/music/Pierce+the+Veil,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
87,Pink Floyd,,5356835,585000147,https://www.last.fm/music/Pink+Floyd,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
88,Addison Rae,,1254463,85410205,https://www.last.fm/music/Addison+Rae,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
89,Calvin Harris,,4790885,194169207,https://www.last.fm/music/Calvin+Harris,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
90,Panic! at the Disco,,4227986,294804419,https://www.last.fm/music/Panic%21+at+the+Disco,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
91,Dua Lipa,,3107592,301825289,https://www.last.fm/music/Dua+Lipa,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
92,Justin Timberlake,,5312327,155335006,https://www.last.fm/music/Justin+Timberlake,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
93,J. Cole,,3686413,274836668,https://www.last.fm/music/J.+Cole,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
94,Jeff Buckley,,3153343,144471902,https://www.last.fm/music/Jeff+Buckley,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
95,Conan Gray,,2277774,225348693,https://www.last.fm/music/Conan+Gray,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
96,BTS,,2203012,2561335903,https://www.last.fm/music/BTS,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
97,JAY-Z,,5423602,224373646,https://www.last.fm/music/JAY-Z,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
